1.5,0.2,"Setosa",1
1.4,0.2,"Setosa",2
1.8,0.3,"Setosa",3
1.6,0.5,"Setosa",4
1.2,0.2,"Setosa",5
4.4,1.4,"Versicolor",6
3.7,1.1,"Versicolor",7
5.8,2.3,"Virginica",8
6.2,1.9,"Virginica",9
5.1,1.9,"Virginica",10
6.8,2.2,"Virginica",11
4.9,1.6,"Virginica",12
5.7,1.7,"Virginica",13
nan,nan,"Virginica",14
5.3,2.3,"Virginica",15
1.4,0.2,"Setosa",2
1.4,0.2,"Setosa",2
1.3,0.2,"Setosa",5
1.4,0.3,"Setosa",2
1.5,0.2,"Setosa",1
1.4,0.2,"Setosa",2
1.5,0.1,"Setosa",1
1.5,0.2,"Setosa",1
1.6,0.2,"Setosa",1
1.4,0.1,"Setosa",2
1.1,0.1,"Setosa",5
1.2,0.2,"Setosa",5
1.5,0.4,"Setosa",4
1.3,0.4,"Setosa",5
1.4,0.3,"Setosa",2
1.7,0.3,"Setosa",3
1.5,0.3,"Setosa",1
1.7,0.2,"Setosa",1
1.0,0.2,"Setosa",5
1.7,0.5,"Setosa",4
1.9,0.2,"Setosa",3
1.6,0.2,"Setosa",1
1.6,0.4,"Setosa",4
1.5,0.2,"Setosa",1
1.4,0.2,"Setosa",2
1.6,0.2,"Setosa",1
1.6,0.2,"Setosa",1
1.5,0.4,"Setosa",4
1.5,0.1,"Setosa",1
1.4,0.2,"Setosa",2
1.5,0.2,"Setosa",1
1.2,0.2,"Setosa",5
1.3,0.2,"Setosa",5
1.4,0.1,"Setosa",2
1.5,0.2,"Setosa",1
1.3,0.3,"Setosa",5
1.3,0.3,"Setosa",5
1.3,0.2,"Setosa",5
1.6,0.6,"Setosa",4
1.9,0.4,"Setosa",3
1.4,0.3,"Setosa",2
1.6,0.2,"Setosa",1
1.4,0.2,"Setosa",2
1.5,0.2,"Setosa",1
1.4,0.2,"Setosa",2
4.7,1.4,"Versicolor",6
4.5,1.5,"Versicolor",6
4.9,1.5,"Versicolor",12
4.0,1.3,"Versicolor",7
4.6,1.5,"Versicolor",6
4.5,1.3,"Versicolor",6
4.7,1.6,"Versicolor",12
3.3,1.0,"Versicolor",7
4.6,1.3,"Versicolor",6
3.9,1.4,"Versicolor",7
3.5,1.0,"Versicolor",7
4.2,1.5,"Versicolor",6
4.0,1.0,"Versicolor",7
4.7,1.4,"Versicolor",6
3.6,1.3,"Versicolor",7
4.4,1.4,"Versicolor",6
4.5,1.5,"Versicolor",6
4.1,1.0,"Versicolor",7
4.5,1.5,"Versicolor",6
3.9,1.1,"Versicolor",7
4.8,1.8,"Versicolor",12
4.0,1.3,"Versicolor",7
4.9,1.5,"Versicolor",12
4.7,1.2,"Versicolor",6
4.3,1.3,"Versicolor",6
4.4,1.4,"Versicolor",6
4.8,1.4,"Versicolor",12
5.0,1.7,"Versicolor",12
4.5,1.5,"Versicolor",6
3.5,1.0,"Versicolor",7
3.8,1.1,"Versicolor",7
3.7,1.0,"Versicolor",7
3.9,1.2,"Versicolor",7
5.1,1.6,"Versicolor",12
4.5,1.5,"Versicolor",6
4.5,1.6,"Versicolor",6
4.7,1.5,"Versicolor",12
4.0,1.3,"Versicolor",7
4.4,1.2,"Versicolor",6
4.6,1.4,"Versicolor",6
4.0,1.2,"Versicolor",7
3.3,1.0,"Versicolor",7
4.2,1.3,"Versicolor",6
4.2,1.2,"Versicolor",6
4.2,1.3,"Versicolor",6
4.3,1.3,"Versicolor",6
3.0,1.1,"Versicolor",7
4.1,1.3,"Versicolor",6
6.0,2.5,"Virginica",8
5.1,1.9,"Virginica",10
5.9,2.1,"Virginica",8
5.6,1.8,"Virginica",13
4.5,1.7,"Virginica",6
6.3,1.8,"Virginica",9
5.8,1.8,"Virginica",13
6.1,2.5,"Virginica",8
5.1,2.0,"Virginica",10
5.3,1.9,"Virginica",10
5.5,2.1,"Virginica",15
5.0,2.0,"Virginica",10
5.1,2.4,"Virginica",15
5.3,2.3,"Virginica",15
5.5,1.8,"Virginica",13
6.7,2.2,"Virginica",11
6.9,2.3,"Virginica",11
5.0,1.5,"Virginica",12
5.7,2.3,"Virginica",8
4.9,1.8,"Virginica",12
5.7,2.1,"Virginica",8
6.0,1.8,"Virginica",9
4.9,1.8,"Virginica",12
5.6,2.1,"Virginica",8
5.8,1.6,"Virginica",13
6.1,1.9,"Virginica",9
6.4,2.0,"Virginica",9
5.6,2.2,"Virginica",8
5.1,1.5,"Virginica",12
5.6,1.4,"Virginica",13
6.1,2.3,"Virginica",8
5.6,2.4,"Virginica",8
5.6,2.4,"Virginica",8
5.1,2.3,"Virginica",15
5.1,1.9,"Virginica",10
5.9,2.3,"Virginica",8
5.7,2.5,"Virginica",8
5.2,2.3,"Virginica",15
5.0,1.9,"Virginica",10
5.2,2.0,"Virginica",10
5.4,2.3,"Virginica",15
5.1,1.8,"Virginica",10
